CustomerID,Gender,Age,Education,Marital Status,Annual Income (k$),Spending Score (1-100),Cluster,Customer_Persona,Marketing_Playbook
78,M,40,Uneducated,Single,54,48,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
80,F,49,Graduate,Married,54,42,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
81,M,57,Graduate,Married,54,51,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
83,M,67,Unknown,Married,54,41,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
84,F,46,Graduate,Married,54,44,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
86,M,48,Graduate,Married,54,46,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
87,F,55,High School,Single,57,58,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
90,F,50,Unknown,Married,58,46,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
91,F,68,High School,Single,59,55,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
93,M,48,Graduate,Single,60,49,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
94,F,40,Graduate,Single,60,40,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
97,F,47,Graduate,Married,60,47,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
99,M,48,College,Married,61,42,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
102,F,49,Unknown,Married,62,48,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
103,M,67,Graduate,Married,62,59,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
105,M,49,High School,Unknown,62,56,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
107,F,66,Post-Graduate,Single,63,50,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
108,M,54,Uneducated,Married,63,46,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
109,M,68,Unknown,Married,63,43,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
110,M,66,Unknown,Divorced,63,48,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
111,M,65,Graduate,Married,63,52,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
117,F,63,High School,Unknown,65,43,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
118,F,49,High School,Single,65,59,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
119,F,51,Doctorate,Married,67,43,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
120,F,50,High School,Married,67,57,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
161,F,56,High School,Married,79,35,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
